Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
Cpu(s):  0.1%us,  0.2%sy,  0.2%ni, 97.8%id,  1.3%wa,  0.0%hi,  0.3%si,  0.0%st
